       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js

   ArrowFunctionExpression:
     📄 Files WITH ArrowFunctionExpression (showing 10):
       • yarn.config.cjs
       • eslint.config.mjs
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • scripts/watch.mjs
       • scripts/verifyOldTs.mjs
       • scripts/mapCoverage.mjs
       • scripts/lintTs.mjs
       • scripts/cleanE2e.mjs
       • scripts/checkCopyrightHeaders.mjs
     📄 Files WITHOUT ArrowFunctionExpression (showing 10):
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • babel.config.js
       • website/i18n.js
       • website/babel.config.js
       • scripts/verifyPnP.mjs
       • scripts/remove-examples.mjs
       • scripts/checkChangelog.mjs
       • examples/typescript/utils.ts

   ObjectExpression:
     📄 Files WITH ObjectExpression (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/docusaurus.config.js
       • website/babel.config.js
       • scripts/watch.mjs
     📄 Files WITHOUT ObjectExpression (showing 10):
       • website/fetchSupporters.js
       • scripts/checkChangelog.mjs
       • scripts/build.mjs
       • e2e/MockStdinWatchPlugin.js
       • examples/typescript/utils.ts
       • examples/typescript/sum.ts
       • examples/typescript/sum.js
       • examples/typescript/sub.ts
       • examples/typescript/calc.ts
       • examples/typescript/Memory.ts

   TSTypeReference:
     📄 Files WITH TSTypeReference (showing 10):
       • e2e/runJest.ts
       • e2e/Utils.ts
       • examples/typescript/calc.ts
       • examples/typescript/CheckboxWithLabel.tsx
       • examples/expect-extend/toBeWithinRange.ts
       • examples/angular/app.component.ts
       • examples/angular/app.component.spec.ts
       • e2e/coverage-remapping/covered.ts
       • e2e/babel-plugin-jest-hoist/entry.ts
       • e2e/__tests__/wrongEnv.test.ts
     📄 Files WITHOUT TSTypeReference (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js

   ArrayExpression:
     📄 Files WITH ArrayExpression (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
     📄 Files WITHOUT ArrayExpression (showing 10):
