AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
   ForOfStatement                            18 ( 0.02%) in      6 files (  3.5%)
   TSTypeOperator                            17 ( 0.02%) in      8 files (  4.7%)
   SwitchCase                                16 ( 0.02%) in      4 files (  2.3%)
   TSTypePredicate                           14 ( 0.02%) in      8 files (  4.7%)
   MethodDefinition                          11 ( 0.01%) in      3 files (  1.7%)
   JSXMemberExpression                       10 ( 0.01%) in      3 files (  1.7%)
   TSInterfaceDeclaration                     9 ( 0.01%) in      5 files (  2.9%)
   TSInterfaceBody                            9 ( 0.01%) in      5 files (  2.9%)
   TSInferType                                9 ( 0.01%) in      3 files (  1.7%)
   TSQualifiedName                            8 ( 0.01%) in      4 files (  2.3%)
   EmptyStatement                             7 ( 0.01%) in      3 files (  1.7%)
   TSConditionalType                          6 ( 0.01%) in      3 files (  1.7%)
   BreakStatement                             6 ( 0.01%) in      3 files (  1.7%)
   SwitchStatement                            6 ( 0.01%) in      4 files (  2.3%)
   TSCallSignatureDeclaration                 5 ( 0.01%) in      3 files (  1.7%)
   ExportAllDeclaration                       4 ( 0.00%) in      2 files (  1.2%)
   ForStatement                               4 ( 0.00%) in      4 files (  2.3%)
   ClassDeclaration                           4 ( 0.00%) in      3 files (  1.7%)
   ClassBody                                  4 ( 0.00%) in      3 files (  1.7%)
   Hashbang                                   3 ( 0.00%) in      3 files (  1.7%)
   Super                                      3 ( 0.00%) in      3 files (  1.7%)
   ImportNamespaceSpecifier                   2 ( 0.00%) in      2 files (  1.2%)
   DoWhileStatement                           2 ( 0.00%) in      2 files (  1.2%)
   TSMappedType                               2 ( 0.00%) in      2 files (  1.2%)
   TSSymbolKeyword                            2 ( 0.00%) in      2 files (  1.2%)
   WhileStatement                             2 ( 0.00%) in      1 files (  0.6%)
   ContinueStatement                          2 ( 0.00%) in      1 files (  0.6%)
   TSRestType                                 1 ( 0.00%) in      1 files (  0.6%)
   TSInterfaceHeritage                        1 ( 0.00%) in      1 files (  0.6%)
   PropertyDefinition                         1 ( 0.00%) in      1 files (  0.6%)
   TSOptionalType                             1 ( 0.00%) in      1 files (  0.6%)
   JSXSpreadAttribute                         1 ( 0.00%) in      1 files (  0.6%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • website/gatsby-browser.js
       • src/vanilla.ts
     📄 Files WITHOUT Identifier (showing 10):
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • tests/setup.ts
       • src/utils.ts
       • src/index.ts
       • website/src/pages/index.js
       • website/src/components/wrapper.js
       • website/src/components/utilities-demo.js
       • website/src/components/toggle.js
