AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
       • wasm/bindings_wasm_bg.wasm.d.ts
       • wasm/bindings_wasm.d.ts
       • src/ast/DeoptimizableEntity.ts
       • src/utils/iterators.ts
       • src/utils/initWasm.ts
       • src/utils/getter.ts
       • src/utils/getOrCreate.ts
       • src/utils/getId.ts
       • src/utils/doNothing.ts

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • scripts/update-snapshots.js
       • scripts/test-options.js
       • scripts/release-helpers.js
       • scripts/publish-wasm-node-package.js
       • scripts/prepublish.js
       • scripts/prepare-release.js
       • scripts/postpublish.js
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • native.d.ts
       • eslint.config.mjs
       • wasm/bindings_wasm_bg.wasm.d.ts
       • wasm/bindings_wasm.d.ts
       • scripts/test-package.js
       • scripts/release-constants.js
       • scripts/generate-ast-converters.js
       • scripts/declarations.d.ts
       • scripts/colors.js
       • scripts/ast-types.js

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • eslint.config.mjs
       • scripts/update-snapshots.js
       • scripts/test-package.js
       • scripts/test-options.js
       • scripts/release-helpers.js
       • scripts/publish-wasm-node-package.js
       • scripts/prepublish.js
     📄 Files WITHOUT CallExpression (showing 10):
       • native.d.ts
       • wasm/bindings_wasm_bg.wasm.d.ts
       • wasm/bindings_wasm.d.ts
       • scripts/release-constants.js
       • scripts/generate-ast-converters.js
       • scripts/declarations.d.ts
       • typings/package.json.ts
       • typings/fsevents.ts
       • typings/declarations.ts
       • src/node-entry.ts

   ThisExpression:
     📄 Files WITH ThisExpression (showing 10):
       • src/ModuleLoader.ts
       • src/Module.ts
       • src/Graph.ts
       • src/ExternalModule.ts
       • src/ExternalChunk.ts
       • src/Chunk.ts
       • src/Bundle.ts
       • test/test.js
       • build-plugins/external-native-import.ts
       • build-plugins/emit-wasm-file.ts
     📄 Files WITHOUT ThisExpression (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • native.d.ts
       • eslint.config.mjs
       • wasm/bindings_wasm_bg.wasm.d.ts
